specimen_id	instance	variant	node_type	spec.bit	readback.tsv	checkpoint
SLICE_X25Y25_base	SLICE_X25Y25	base	implementation	0cee468090713579400c78bb2277afbdc1e92fdc024cda05ae43ffe96d3deb4a	cb8863568dad4548ebc5b789f0ec32fb8d284dce490653246c977e782af8a6b9	d5ea031e59f67084e5a36d5a0848eec82f78c9f786a2824fc4367e40d5af02a8
SLICE_X25Y25_ce_tied	SLICE_X25Y25	ce_tied	implementation	43421bd77aeb163ccc7afa39bc26b765fd1704d25c5d0cb31fb64b8c8957cd90	c35ce00c8a171be7923ed927462cef118acd22e2bde92222102a3bd3f0ffe5f6	8ab5ea927438884ad12394671ce86b7fc8c8b11839d5a2d1d0f204da45eb9feb
SLICE_X25Y25_clkinv	SLICE_X25Y25	clkinv	implementation	66d7b6d02cc46535964f6a39f9c168f523452403bec7d19bee76125fcbe8f8ae	4f3d2afa215b071ca12f7ba91bb6fd69f597f3156c9cd8245874d98c371a4d26	3455d6cba8848da784fba8fe099d438af11aaf7ba1b18d42cf91b0ab0e65f425
SLICE_X25Y25_latch	SLICE_X25Y25	latch	implementation	16ffa92558d7bb46edcf1e122c2cf6507e74329499d5283274bd79bcbd2b4b64	25560339677c2e746ea6002f715f565feb39f263da67f925ea1ac066f2776b48	63db737a9c5366af34b1192b9fe8da49f74e2b351a88b6863ef0c8c144b27851
SLICE_X25Y25_latch_base	SLICE_X25Y25	latch_base	implementation	1f7cc64dea90081c0a4590465e6a4ec4c82a22d3f466901a55c3237be7808f87	6b6cf9397bb1d2cda250d38e8e45cec744591eba3bc2886e60e4ddfca83c9c3f	090e689626bcddac600d5eb2d8bc6a4922184efa53f80fb21caff9d22eaa30f5
SLICE_X25Y25_sr_tied	SLICE_X25Y25	sr_tied	implementation	edc29d3f235c90de1d04dc9e1cb8ceddb3550b7c77c247fb3fb38c24f0bcd987	c99b031e238f8a7ea0b0917cdce80e672d2e5478aca1c7fa467018bddeb5d254	0d2f02805cdb12710fa6fbae3908d0efe3dc7470bda96507939839acc91525c8
SLICE_X25Y25_zini_A5FF	SLICE_X25Y25	zini_A5FF	derived	9d85d88de0899181ef76237d58092c58e63b7b64b0beb7927d17a5d5baeb50df	bae7eb29757062264b4714cfc1ea4f35cb1287b38284cb11df25283094d91dee	2245692f3ad666c48aa53dafabef20f95af07cba05555cf25d55931163c34074
SLICE_X25Y25_zini_AFF	SLICE_X25Y25	zini_AFF	derived	d10e5a73b9cfe7f27803dcb2e166759d29918adb5c12331487718ba0985e7a45	e2cf27fb2c577ef80e632349ef63f80256be9d36451444d07f7b33fcd8eae51a	65446b5781f369feeb39f32221570d46b311f679376471d544573fb22a948d24
SLICE_X25Y25_zini_B5FF	SLICE_X25Y25	zini_B5FF	derived	bbbbc2bd1cc91baa664692ee4efff4f44c8132c3e56df46d57a88a3b75ab72d1	3f38027a80d45e94289989161c0f186590df427ba4ffb17b3b05cda87b7424ff	ab8c257d0e136d584ccaa496a5b84aa244f776f4ec1521f148c749695538458e
SLICE_X25Y25_zini_BFF	SLICE_X25Y25	zini_BFF	derived	a54cda8f5de2f480375628d9300926d8d1a4819486cb832633a88e42b5f08d5c	9db50dffba72b324787a2fa39b2544696d28e9ef0f80beb43899e28dff50fc10	43c950b9bfb435dcc924b2459f223031823f5c6b3cf84fdc5074089a985b9692
